ID,region,air_pollution_index,avg_salary,Population,clearance-rate-divided,crime_amount,Entertainment-places-rate,gdp_per_capita,Population_Age_10_and_older,Postgraduate_Education,Higher_Education,household_spending_per_month,life_expectancy,Med-institution-rate,car-amount-rate,School-number-rate,Transport-quanity-rate,unemployment-rate
0,Abai Region,-0.03644954438069524,0.10776902585848891,0.20037829201669843,0.044521171001478343,0.04463692574991057,0.38753254335860465,0.1685923240193898,0.0,0.7833333333333332,0.6287425149700585,-0.138662679087437,0.4013605442176882,0.8546043467020868,-0.025767030115994845,0.5310082490126766,0.001296923472352207,-0.7777777777777777
1,Akmola Region,-0.07933963325458432,0.07810553396648756,0.292004329227439,0.2675787594291923,0.14804026777045326,0.702123291290097,0.12477831763493771,0.0,0.75,0.5688622754491011,-0.4620607432254935,0.34693877551020513,0.5836926838739324,-0.5448837949709294,0.7808951076795777,0.42665384025261505,-0.5555555555555554
2,Aktobe Region,-0.17355720553493081,0.1599654274804263,0.3642684121012214,0.1640196958942085,0.1818692830497215,0.4352181567804858,0.1450295294985334,0.0,0.8166666666666667,0.47604790419161613,-0.37290601572130044,0.5799319727891152,0.7306043751086474,-0.363506003155897,0.4484637223493475,0.3276164599961006,-0.5555555555555554
3,Almaty Region,-0.022105973675329058,0.11549044697811195,0.6620568984177704,0.1094707714095356,0.3647605907302366,0.12196452442580256,0.03647132345075696,0.0,0.6500000000000001,0.5329341317365257,-0.41075433952351115,0.41326530612245094,0.2228602373677746,-0.820197014490096,0.2482324279352418,0.4113892181444792,-0.44444444444444464
4,Atyrau Region,-0.16736978287771404,1.0,0.24307838993970005,0.14512234758752351,0.11755838315703408,0.2997345088048711,1.0,0.0,0.75,0.4161676646706587,-0.23050498110614903,0.5476190476190492,0.7598596361483562,-0.3599684971277477,0.26062648454032317,0.6473853706477705,-0.5555555555555554
5,West Kazakhstan Region,-0.01788727640904489,0.16600886596058595,0.24052775344018962,1.0,0.03873473350707751,0.8863354425824397,0.23959148514517034,0.0,0.7666666666666666,0.44311377245508954,-0.14745286640935995,0.39455782312925436,0.678327792202475,-0.0,0.5742196194423583,0.4976339749085622,-0.7777777777777777
6,Jambyl Region,-0.055996175047811896,0.02533855072268043,0.513611297222079,0.2987350105117643,0.1451274975726915,0.34815879729315535,0.0,0.0,0.6500000000000001,0.22155688622754433,-0.10572473578919706,0.5833333333333357,0.6496873285810244,-0.42556869954083887,0.3852643278127984,0.34985422022907414,-0.7777777777777777
7,Jetisu Region,-0.0,0.009247473741428536,0.24598258001339995,0.06003252180630306,0.03873473350707751,0.3601574226033563,0.17891779595651366,0.0,0.6500000000000001,0.5329341317365257,-0.39553822215935486,0.5,0.9293752184029481,-0.03251954051506962,0.5022946733164817,0.004296745445570233,-0.8888888888888884
8,Karaganda Region,-0.6411294858814265,0.19170867250303014,0.4707302994382312,0.11502991648782424,0.25926209821656704,0.4185177366878935,0.23650059959801598,0.0,0.8333333333333333,0.5658682634730541,-0.9116131509285266,0.14625850340136104,0.9999999999999999,-0.6329371229244641,0.3504367388734092,0.44737543970046084,-0.1111111111111116
9,Kostanay Region,-0.1523230959613005,0.08076599738680368,0.3147528732670205,0.13766734545371617,0.19771066482702232,0.6526240683372807,0.1577815436411645,0.0,0.7833333333333332,0.6317365269461073,-0.3902439024390243,0.2108843537414984,0.9341178850734254,-0.5033672731555118,0.5985542450020432,0.3923309161446429,-0.666666666666667
10,Kyzylorda Region,-0.014512318596017544,0.13071721097002242,0.3154852342421275,0.27156520668560097,0.0715161735397823,0.40804276527150546,0.03973110984748254,0.0,0.6833333333333333,0.2664670658682633,-0.15074666073918408,0.47108843537414913,0.5513895471804408,-0.32131426876907576,0.3663643101624008,0.4684513529824584,-0.666666666666667
11,Mangystau Region,-0.09227697153785577,0.786430286067342,0.28117352986651545,0.2444355347104547,0.09241657723951148,0.1136958328370357,0.2029963010713944,0.0,0.7166666666666668,0.341317365269461,-0.22767595530139229,0.7465986394557831,0.7428080932671276,-0.4240437100403734,0.16117872175662834,0.514017131541227,-0.8888888888888884
12,Pavlodar Region,-1.0,0.15694033201773183,0.2749616038756893,0.22587120886604428,0.13774336961520772,0.6207466023789131,0.1955646636902584,0.0,0.8333333333333333,0.6227544910179628,-0.5895285630569644,0.24829931972789332,0.8917362457906429,-0.50665238488375,0.4915925504808547,0.4685823685152478,-0.5555555555555554
13,North Kazakhstan Region,-0.05571492856339296,0.0,0.16112405298149768,0.22570672589217905,0.11505442281158977,0.9999999999999998,0.1061541839555453,0.0,0.75,0.6916167664670647,-0.6578495362418413,0.1411564625850339,0.7208566544599441,-0.05526729413407245,1.0,0.6696251747415486,-0.666666666666667
14,Turkistan Region,-0.01704353695578805,0.03432943154539836,0.9780281399783538,0.3399168615747531,0.15516888957023864,0.26397771593141806,0.1966411251048593,0.0,0.0,0.0,-0.0,0.6122448979591866,0.0,-0.2079887043212313,0.46815301231101236,0.12414585077161668,-1.0
15,Ulytau Region,-0.12926088423894702,0.5926621177693971,0.0,0.010875840354872324,0.0,0.41654875732045665,0.34363666049240227,0.0,0.8333333333333333,0.5658682634730541,-0.6519489967062055,0.0,0.8710677358700084,-0.03640056808115233,0.366860470226428,1.0,-0.0
16,East Kazakhstan Region,-0.09874564067949151,0.20271515822667274,0.26221563675720244,0.2188294811420693,0.22039961163064029,0.4211735649541949,0.17687296967103747,0.0,0.7833333333333332,0.6287425149700585,-0.8297330612079938,0.1581632653061238,0.6421258227266923,-1.0,0.49550833854274956,0.0,-0.44444444444444464
17,Astana city,-0.06274609067386658,0.6073790721465009,0.5839509354223573,0.05900899066996079,0.4988246716745874,0.0,0.32888936431350246,0.0,1.0,1.0,-0.7339503303897992,0.9965986394557831,0.04580842667272167,-0.5412428413769758,0.0,0.35876731477480783,-0.33333333333333304
18,Almaty city,-0.03996512543593205,0.43161292282967967,0.9999999999999999,0.0,0.9999999999999999,0.004144624199973128,0.38134433816202107,0.0,0.8833333333333333,0.5119760479041906,-1.0,1.0,0.42565036888357766,-0.5711048824141917,0.04375059458229208,0.2815045987290048,-0.7777777777777777